Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach,Week
CR-2268,Session timeouts occurring too frequently for web application,Data,John Cena,John Cena,Matrix,Service C,Closed,Medium,High,Medium,High,2025-06-05T04:45:23.000000,2025-06-05T06:45:23.000000,2025-06-05T19:45:23.000000,0,2,Thursday,1,2.0,13.0,15.0,1,2025-23
CR-2269,Inconsistent access to archived email system,Failure,Thor,Thor,Avengers,Service C,Closed,Medium,Critical,High,High,2025-06-05T14:15:58.000000,2025-06-05T16:15:58.000000,2025-06-05T23:15:58.000000,0,5,Thursday,1,2.0,7.0,9.0,1,2025-23
CR-2270,Random loss of mapped network drives on login,Access,John Wick,John Wick,Matrix,Service C,Closed,Low,High,Medium,Medium,2025-06-05T13:41:29.000000,2025-06-05T18:41:29.000000,2025-06-06T18:41:29.000000,0,3,Thursday,1,5.0,24.0,29.0,1,2025-23
CR-2271,Slow file access on shared network drives during business hours,Data,Spiderman,Spiderman,Avengers II,Service A,Closed,Medium,High,High,High,2025-06-05T06:24:07.000000,2025-06-05T11:24:07.000000,2025-06-06T09:24:07.000000,1,3,Thursday,0,5.0,22.0,27.0,1,2025-23
CR-2272,Frequent errors in scheduled report generation processes,Network,Doctor Strange,Doctor Strange,Avengers II,Service C,New,Low,Critical,High,Medium,2025-06-05T03:24:47.000000,,,0,5,Thursday,1,,,,0,2025-23
CR-2273,Recurring time synchronization issues across servers,Network,John Cena,John Cena,Matrix,Service A,On Hold,Medium,Medium,Low,Medium,2025-06-05T19:09:32.000000,,,0,1,Thursday,1,,,,0,2025-23
CR-2274,Random disconnections from database for application services,Network,Captain America,Captain America,Avengers,Service C,Closed,High,Critical,High,High,2025-06-05T23:18:06.000000,2025-06-06T06:18:06.000000,2025-06-06T16:18:06.000000,0,3,Thursday,1,7.0,10.0,17.0,1,2025-23
CR-2275,Intermittent connectivity issues to cloud-hosted applications,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service B,New,Medium,Low,Low,Low,2025-06-05T13:11:28.000000,,,0,1,Thursday,1,,,,0,2025-23
CR-2276,Unexplained slow logon times for domain users,Network,Thor,Thor,Avengers,Service C,Closed,Medium,Critical,High,High,2025-06-05T04:47:15.000000,2025-06-05T10:47:15.000000,2025-06-05T14:47:15.000000,1,5,Thursday,0,6.0,4.0,10.0,0,2025-23
CR-2277,Random disconnections from database for application services,Network,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,High,Low,Low,Low,2025-06-05T02:21:05.000000,2025-06-05T04:21:05.000000,2025-06-06T21:21:05.000000,0,0,Thursday,1,2.0,41.0,43.0,0,2025-23
CR-2278,Periodic issues with remote desktop sessions not reconnecting,Facilities,Captain America,Captain America,Avengers,Service B,Closed,High,Medium,Medium,Medium,2025-06-06T19:42:53.000000,2025-06-07T01:42:53.000000,2025-06-07T18:42:53.000000,0,1,Friday,1,6.0,17.0,23.0,0,2025-23
CR-2279,Unreliable backup completion for certain file shares,Facilities,Iron Man,Iron Man,Avengers,Service C,Closed,Low,Medium,Medium,Medium,2025-06-06T01:25:00.000000,2025-06-06T07:25:00.000000,2025-06-07T06:25:00.000000,1,2,Friday,0,6.0,23.0,29.0,0,2025-23
CR-2280,Unstable Wi-Fi coverage in specific office area,Facilities,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,Medium,Medium,Medium,2025-06-06T22:08:42.000000,2025-06-07T04:08:42.000000,2025-06-08T01:08:42.000000,0,1,Friday,1,6.0,21.0,27.0,0,2025-23
CR-2281,Periodic issues with remote desktop sessions not reconnecting,Complaint,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,High,Critical,High,High,2025-06-06T21:21:39.000000,2025-06-07T01:21:39.000000,2025-06-07T11:21:39.000000,0,5,Friday,1,4.0,10.0,14.0,1,2025-23
CR-2282,Inconsistent application behavior after automated updates,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-06-06T03:06:28.000000,2025-06-06T08:06:28.000000,2025-06-06T22:06:28.000000,1,1,Friday,0,5.0,14.0,19.0,0,2025-23
CR-2283,Recurring disk space shortages on application servers,Network,Spiderman,Spiderman,Avengers II,Service B,Closed,Medium,Critical,Medium,High,2025-06-06T14:15:05.000000,2025-06-06T22:15:05.000000,2025-06-07T09:15:05.000000,0,3,Friday,1,8.0,11.0,19.0,1,2025-23
CR-2284,Slow file access on shared network drives during business hours,Access,John Cena,John Cena,Matrix,Service A,Closed,Medium,Medium,Low,Medium,2025-06-06T23:47:53.000000,2025-06-07T05:47:53.000000,2025-06-08T06:47:53.000000,0,2,Friday,1,6.0,25.0,31.0,1,2025-23
CR-2285,Unstable connection to remote branches over WAN,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,High,Medium,Low,Medium,2025-06-06T12:52:43.000000,2025-06-06T17:52:43.000000,2025-06-07T13:52:43.000000,0,1,Friday,1,5.0,20.0,25.0,0,2025-23
CR-2286,Inconsistent synchronization between production and reporting databases,Failure,Neo,Neo,Matrix,Service B,Closed,Medium,Low,Low,Low,2025-06-06T18:44:41.000000,2025-06-06T22:44:41.000000,2025-06-09T06:44:41.000000,0,1,Friday,1,4.0,56.0,60.0,1,2025-23
CR-2287,Session timeouts occurring too frequently for web application,Access,Loki,Loki,Avengers,Service A,Closed,High,Critical,High,High,2025-06-06T06:45:31.000000,2025-06-06T08:45:31.000000,2025-06-06T09:45:31.000000,1,5,Friday,0,2.0,1.0,3.0,0,2025-23
CR-2288,Intermittent failures when connecting to external partner systems,Hardware,Neo,Neo,Matrix,Service C,Closed,Low,Medium,Medium,Medium,2025-06-06T09:57:45.000000,2025-06-06T11:57:45.000000,2025-06-07T11:57:45.000000,0,2,Friday,1,2.0,24.0,26.0,0,2025-23
CR-2289,Random loss of mapped network drives on login,Complaint,Neo,Neo,Matrix,Service B,Closed,Medium,Medium,Medium,Medium,2025-06-07T23:11:38.000000,2025-06-08T03:11:38.000000,2025-06-08T18:11:38.000000,0,1,Saturday,1,4.0,15.0,19.0,0,2025-23
CR-2290,Recurring performance issues on storage system,Facilities,Thor,Thor,Avengers,Service A,Closed,Medium,Critical,Medium,Medium,2025-06-07T20:47:13.000000,2025-06-08T03:47:13.000000,2025-06-08T08:47:13.000000,0,4,Saturday,1,7.0,5.0,12.0,1,2025-23
CR-2291,Random loss of mapped network drives on login,Software,Shang Chi,Shang Chi,Avengers II,Service A,Closed,High,High,High,High,2025-06-07T16:40:00.000000,2025-06-08T00:40:00.000000,2025-06-08T06:40:00.000000,1,3,Saturday,0,8.0,6.0,14.0,0,2025-23
CR-2292,Unstable Wi-Fi coverage in specific office area,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,High,Low,Low,Low,2025-06-07T13:40:44.000000,2025-06-07T16:40:44.000000,2025-06-10T00:40:44.000000,0,0,Saturday,1,3.0,56.0,59.0,1,2025-23
CR-2293,Recurring printer spooler service failures on print server,Complaint,Thor,Thor,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-06-07T22:47:41.000000,2025-06-08T01:47:41.000000,2025-06-09T09:47:41.000000,0,2,Saturday,1,3.0,32.0,35.0,1,2025-23
CR-2294,Recurring printing failures for specific printer models,Complaint,Iron Man,Iron Man,Avengers,Service B,Closed,Low,Critical,High,High,2025-06-07T16:38:09.000000,2025-06-07T20:38:09.000000,2025-06-08T04:38:09.000000,0,3,Saturday,1,4.0,8.0,12.0,1,2025-23
CR-2295,Inconsistent behavior of multi-factor authentication prompts,Software,Hulk,Hulk,Avengers,Service C,Closed,Low,High,Medium,Low,2025-06-07T06:49:01.000000,2025-06-07T14:49:01.000000,2025-06-08T10:49:01.000000,0,3,Saturday,1,8.0,20.0,28.0,1,2025-23
CR-2296,Random loss of mapped network drives on login,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,High,High,High,Low,2025-06-07T05:05:22.000000,2025-06-07T12:05:22.000000,2025-06-08T11:05:22.000000,0,2,Saturday,1,7.0,23.0,30.0,1,2025-23
CR-2297,Intermittent connectivity issues to cloud-hosted applications,Access,Iron Man,Iron Man,Avengers,Service C,On Hold,High,Critical,High,High,2025-06-07T06:27:31.000000,,,0,5,Saturday,1,,,,0,2025-23
CR-2298,Frequent corruption of user profiles on shared workstations,Complaint,Hulk,Hulk,Avengers,Service B,Closed,Low,High,High,High,2025-06-07T23:11:16.000000,2025-06-08T01:11:16.000000,2025-06-08T08:11:16.000000,1,3,Saturday,0,2.0,7.0,9.0,0,2025-23
CR-2299,Slow file access on shared network drives during business hours,Network,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,High,High,Medium,High,2025-06-07T03:47:44.000000,2025-06-07T10:47:44.000000,2025-06-07T22:47:44.000000,0,2,Saturday,1,7.0,12.0,19.0,1,2025-23
CR-2300,Random failures in software deployment to endpoints,Data,Iron Man,Iron Man,Avengers,Service A,Closed,Low,Low,Low,Low,2025-06-07T07:14:50.000000,2025-06-07T14:14:50.000000,2025-06-09T06:14:50.000000,0,1,Saturday,1,7.0,40.0,47.0,0,2025-23
CR-2301,Inconsistent application behavior after automated updates,Hardware,Spiderman,Spiderman,Avengers II,Service C,Closed,Medium,Medium,Medium,Medium,2025-06-07T21:02:33.000000,2025-06-07T23:02:33.000000,2025-06-09T03:02:33.000000,0,2,Saturday,1,2.0,28.0,30.0,1,2025-23
CR-2302,Slow file access on shared network drives during business hours,Software,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Low,High,High,High,2025-06-08T09:03:57.000000,2025-06-08T15:03:57.000000,2025-06-09T15:03:57.000000,0,2,Sunday,1,6.0,24.0,30.0,1,2025-23
CR-2303,Frequent VPN disconnections during peak hours,Network,Loki,Loki,Avengers,Service A,Closed,Medium,Low,Low,Low,2025-06-08T02:02:28.000000,2025-06-08T05:02:28.000000,2025-06-10T15:02:28.000000,0,1,Sunday,1,3.0,58.0,61.0,1,2025-23
CR-2304,Periodic failures in monitoring alerts delivery,Access,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,Medium,Medium,Medium,2025-06-08T15:34:13.000000,2025-06-08T19:34:13.000000,2025-06-10T03:34:13.000000,1,2,Sunday,0,4.0,32.0,36.0,1,2025-23
CR-2305,Random freezing of operating system on virtual desktops,Access,Thor,Thor,Avengers,Service B,Closed,Medium,Medium,Medium,Low,2025-06-08T22:54:55.000000,2025-06-09T05:54:55.000000,2025-06-10T03:54:55.000000,0,1,Sunday,1,7.0,22.0,29.0,0,2025-23
CR-2306,Unstable connection to remote branches over WAN,Software,Hulk,Hulk,Avengers,Service A,Closed,Low,Critical,High,High,2025-06-08T06:44:17.000000,2025-06-08T10:44:17.000000,2025-06-08T19:44:17.000000,0,4,Sunday,1,4.0,9.0,13.0,1,2025-23
CR-2307,Frequent account lockouts for multiple users,Failure,Captain America,Captain America,Avengers,Service B,Closed,Low,Critical,High,High,2025-06-08T12:18:17.000000,2025-06-08T20:18:17.000000,2025-06-09T05:18:17.000000,0,5,Sunday,1,8.0,9.0,17.0,1,2025-23
CR-2308,Random failures in software deployment to endpoints,Software,Captain Marvel,Captain Marvel,Avengers II,Service A,In Progress,Medium,High,High,High,2025-06-08T11:53:58.000000,2025-06-08T13:53:58.000000,,0,2,Sunday,1,2.0,,,0,2025-23
CR-2309,Intermittent failures when connecting to external partner systems,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-06-08T14:01:43.000000,2025-06-08T16:01:43.000000,2025-06-09T12:01:43.000000,0,1,Sunday,1,2.0,20.0,22.0,0,2025-23
CR-2310,Recurring time synchronization issues across servers,Access,Captain America,Captain America,Avengers,Service B,Closed,High,Critical,High,High,2025-06-09T14:06:40.000000,2025-06-09T16:06:40.000000,2025-06-09T23:06:40.000000,0,4,Monday,1,2.0,7.0,9.0,1,2025-24
CR-2311,Recurring performance degradation on core banking application,Access,Neo,Neo,Matrix,Service A,Closed,High,Medium,Low,Medium,2025-06-09T16:41:11.000000,2025-06-09T22:41:11.000000,2025-06-11T10:41:11.000000,0,1,Monday,1,6.0,36.0,42.0,1,2025-24
CR-2312,Intermittent failures of web proxy authentication,Data,Loki,Loki,Avengers,Service B,Closed,Low,High,High,High,2025-06-09T09:50:05.000000,2025-06-09T11:50:05.000000,2025-06-10T04:50:05.000000,0,2,Monday,1,2.0,17.0,19.0,1,2025-24
CR-2313,Inconsistent synchronization between production and reporting databases,Complaint,Iron Man,Iron Man,Avengers,Service C,Closed,Low,Medium,Medium,Medium,2025-06-09T07:19:00.000000,2025-06-09T11:19:00.000000,2025-06-10T13:19:00.000000,1,2,Monday,0,4.0,26.0,30.0,1,2025-24
CR-2314,Recurring printer spooler service failures on print server,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Medium,Low,Low,Low,2025-06-09T07:03:46.000000,2025-06-09T11:03:46.000000,2025-06-12T11:03:46.000000,1,0,Monday,0,4.0,72.0,76.0,1,2025-24
CR-2315,Intermittent network connectivity issues reported by multiple users,Software,Captain America,Captain America,Avengers,Service A,Closed,High,Medium,Medium,Medium,2025-06-09T08:56:44.000000,2025-06-09T16:56:44.000000,2025-06-10T20:56:44.000000,0,1,Monday,1,8.0,28.0,36.0,1,2025-24
CR-2316,Recurring SSL certificate errors for internal applications,Access,Iron Man,Iron Man,Avengers,Service B,Closed,Low,High,High,High,2025-06-09T21:29:09.000000,2025-06-10T04:29:09.000000,2025-06-10T12:29:09.000000,1,2,Monday,0,7.0,8.0,15.0,0,2025-24
CR-2317,Inconsistent access to archived email system,Network,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Low,Medium,Medium,Medium,2025-06-09T02:08:22.000000,2025-06-09T09:08:22.000000,2025-06-10T15:08:22.000000,0,1,Monday,1,7.0,30.0,37.0,1,2025-24
CR-2318,Random application crashes on client workstations,Hardware,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,Low,Low,Low,2025-06-09T11:17:20.000000,2025-06-09T14:17:20.000000,2025-06-12T01:17:20.000000,0,0,Monday,1,3.0,59.0,62.0,1,2025-24
CR-2319,Unstable connection to remote branches over WAN,Access,Thor,Thor,Avengers,Service A,Closed,Low,Critical,High,High,2025-06-09T09:12:46.000000,2025-06-09T11:12:46.000000,2025-06-09T15:12:46.000000,0,5,Monday,1,2.0,4.0,6.0,0,2025-24
CR-2320,Unstable connection to remote branches over WAN,Facilities,Thor,Thor,Avengers,Service B,Closed,High,Low,Low,Low,2025-06-09T03:06:56.000000,2025-06-09T05:06:56.000000,2025-06-10T23:06:56.000000,0,1,Monday,1,2.0,42.0,44.0,0,2025-24
CR-2321,Intermittent VoIP call quality issues and audio dropouts,Software,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,Low,Low,Low,Low,2025-06-09T16:01:48.000000,2025-06-09T20:01:48.000000,2025-06-11T22:01:48.000000,0,0,Monday,1,4.0,50.0,54.0,1,2025-24
CR-2322,Intermittent access issues to HR web portal,Facilities,John Wick,John Wick,Matrix,Service C,Closed,High,High,High,Medium,2025-06-09T02:41:34.000000,2025-06-09T06:41:34.000000,2025-06-10T00:41:34.000000,0,3,Monday,1,4.0,18.0,22.0,1,2025-24
CR-2323,Random disconnections from database for application services,Access,Hulk,Hulk,Avengers,Service C,Closed,Medium,Critical,High,High,2025-06-09T05:27:53.000000,2025-06-09T08:27:53.000000,2025-06-09T19:27:53.000000,0,5,Monday,1,3.0,11.0,14.0,1,2025-24
CR-2324,Intermittent email delivery delays to external domains,Hardware,Spiderman,Spiderman,Avengers II,Service A,Closed,Medium,Critical,High,High,2025-06-09T05:18:11.000000,2025-06-09T07:18:11.000000,2025-06-09T17:18:11.000000,0,3,Monday,1,2.0,10.0,12.0,1,2025-24
CR-2325,Recurring high latency reported in video conferencing sessions,Hardware,Thor,Thor,Avengers,Service C,Closed,Medium,Medium,Low,Medium,2025-06-09T18:46:20.000000,2025-06-09T23:46:20.000000,2025-06-10T16:46:20.000000,0,1,Monday,1,5.0,17.0,22.0,0,2025-24
CR-2326,Inconsistent application behavior after automated updates,Failure,Spiderman,Spiderman,Avengers II,Service A,Closed,High,High,High,High,2025-06-09T12:05:33.000000,2025-06-09T19:05:33.000000,2025-06-10T01:05:33.000000,1,3,Monday,0,7.0,6.0,13.0,0,2025-24
CR-2327,Intermittent network connectivity issues reported by multiple users,Complaint,Neo,Neo,Matrix,Service B,On Hold,Medium,Critical,High,High,2025-06-09T06:37:46.000000,,,0,3,Monday,1,,,,0,2025-24
CR-2328,Slow file access on shared network drives during business hours,Failure,Batman,Batman,Matrix,Service A,Closed,Low,Low,Low,Low,2025-06-09T09:30:34.000000,2025-06-09T17:30:34.000000,2025-06-12T17:30:34.000000,0,1,Monday,1,8.0,72.0,80.0,1,2025-24
CR-2329,Random loss of mapped network drives on login,Failure,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Low,High,High,High,2025-06-09T04:28:09.000000,2025-06-09T09:28:09.000000,2025-06-09T20:28:09.000000,1,3,Monday,0,5.0,11.0,16.0,1,2025-24
CR-2330,Intermittent access issues to HR web portal,Data,Neo,Neo,Matrix,Service A,Closed,High,Critical,High,High,2025-06-09T01:19:43.000000,2025-06-09T07:19:43.000000,2025-06-09T18:19:43.000000,1,4,Monday,0,6.0,11.0,17.0,1,2025-24
CR-2331,Recurring DNS resolution failures for internal hostnames,Complaint,Thor,Thor,Avengers,Service B,Closed,High,Critical,High,High,2025-06-09T03:41:07.000000,2025-06-09T07:41:07.000000,2025-06-09T17:41:07.000000,0,3,Monday,1,4.0,10.0,14.0,1,2025-24
CR-2332,Unreliable backup completion for certain file shares,Facilities,John Wick,John Wick,Matrix,Service B,Closed,Low,Medium,Medium,Medium,2025-06-09T02:39:26.000000,2025-06-09T04:39:26.000000,2025-06-10T02:39:26.000000,0,2,Monday,1,2.0,22.0,24.0,0,2025-24
CR-2333,Intermittent VoIP call quality issues and audio dropouts,Hardware,Spiderman,Spiderman,Avengers II,Service B,Closed,High,High,High,High,2025-06-09T15:51:24.000000,2025-06-09T22:51:24.000000,2025-06-10T06:51:24.000000,0,3,Monday,1,7.0,8.0,15.0,0,2025-24
CR-2334,Random loss of mapped network drives on login,Data,Spiderman,Spiderman,Avengers II,Service B,Closed,High,High,High,Low,2025-06-09T04:51:53.000000,2025-06-09T12:51:53.000000,2025-06-09T23:51:53.000000,0,2,Monday,1,8.0,11.0,19.0,1,2025-24
CR-2335,Recurring high latency reported in video conferencing sessions,Complaint,John Cena,John Cena,Matrix,Service C,Closed,Low,Medium,Medium,Medium,2025-06-09T16:11:21.000000,2025-06-09T19:11:21.000000,2025-06-11T05:11:21.000000,0,2,Monday,1,3.0,34.0,37.0,1,2025-24
CR-2336,Unstable connection to remote branches over WAN,Facilities,Spiderman,Spiderman,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-06-09T07:18:54.000000,2025-06-09T11:18:54.000000,2025-06-09T23:18:54.000000,0,1,Monday,1,4.0,12.0,16.0,0,2025-24
CR-2337,Periodic failures in monitoring alerts delivery,Software,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Low,Medium,Medium,Medium,2025-06-10T09:56:54.000000,2025-06-10T17:56:54.000000,2025-06-11T20:56:54.000000,0,2,Tuesday,1,8.0,27.0,35.0,1,2025-24
CR-2338,Intermittent authentication failures for single sign-on,Data,Iron Man,Iron Man,Avengers,Service C,In Progress,Low,Medium,Medium,Medium,2025-06-10T17:00:16.000000,2025-06-10T23:00:16.000000,,0,2,Tuesday,1,6.0,,,0,2025-24
CR-2339,Random disconnections from database for application services,Access,Loki,Loki,Avengers,Service C,Closed,Low,High,High,Medium,2025-06-10T04:29:52.000000,2025-06-10T09:29:52.000000,2025-06-11T02:29:52.000000,0,3,Tuesday,1,5.0,17.0,22.0,1,2025-24
CR-2340,Session timeouts occurring too frequently for web application,Hardware,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,Low,Low,Low,Low,2025-06-10T08:59:05.000000,2025-06-10T10:59:05.000000,2025-06-12T16:59:05.000000,0,1,Tuesday,1,2.0,54.0,56.0,1,2025-24
CR-2341,Recurring performance issues on storage system,Software,Hulk,Hulk,Avengers,Service C,In Progress,Low,Critical,Medium,High,2025-06-10T00:12:35.000000,2025-06-10T06:12:35.000000,,0,3,Tuesday,1,6.0,,,0,2025-24
CR-2342,Periodic high CPU usage on database server causing slow queries,Failure,Captain America,Captain America,Avengers,Service A,Closed,Low,High,High,High,2025-06-10T08:22:45.000000,2025-06-10T10:22:45.000000,2025-06-11T06:22:45.000000,0,3,Tuesday,1,2.0,20.0,22.0,1,2025-24
CR-2343,Recurring time synchronization issues across servers,Facilities,John Wick,John Wick,Matrix,Service A,Closed,High,High,Medium,Medium,2025-06-10T00:45:52.000000,2025-06-10T03:45:52.000000,2025-06-10T16:45:52.000000,0,3,Tuesday,1,3.0,13.0,16.0,1,2025-24
CR-2344,Inconsistent synchronization between production and reporting databases,Software,Captain America,Captain America,Avengers,Service C,Closed,Low,Low,Low,Low,2025-06-10T12:50:19.000000,2025-06-10T15:50:19.000000,2025-06-11T16:50:19.000000,0,1,Tuesday,1,3.0,25.0,28.0,0,2025-24
CR-2345,Frequent VPN disconnections during peak hours,Access,Spiderman,Spiderman,Avengers II,Service C,Closed,High,Medium,Medium,Medium,2025-06-10T04:05:53.000000,2025-06-10T06:05:53.000000,2025-06-11T16:05:53.000000,1,2,Tuesday,0,2.0,34.0,36.0,1,2025-24
CR-2346,Periodic failures in monitoring alerts delivery,Failure,John Wick,John Wick,Matrix,Service A,Closed,Medium,Critical,High,High,2025-06-10T07:51:22.000000,2025-06-10T12:51:22.000000,2025-06-10T14:51:22.000000,0,4,Tuesday,1,5.0,2.0,7.0,0,2025-24
CR-2347,Frequent issues with file version conflicts on shared drives,Data,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,High,Medium,Low,Medium,2025-06-10T08:07:21.000000,2025-06-10T15:07:21.000000,2025-06-11T09:07:21.000000,0,2,Tuesday,1,7.0,18.0,25.0,0,2025-24
CR-2348,Intermittent VoIP call quality issues and audio dropouts,Hardware,Thor,Thor,Avengers,Service A,Closed,Medium,Medium,Medium,Medium,2025-06-10T19:45:24.000000,2025-06-11T00:45:24.000000,2025-06-12T09:45:24.000000,0,1,Tuesday,1,5.0,33.0,38.0,1,2025-24
CR-2349,Frequent corruption of user profiles on shared workstations,Network,Thor,Thor,Avengers,Service B,Closed,High,Critical,High,Medium,2025-06-10T23:03:47.000000,2025-06-11T01:03:47.000000,2025-06-11T08:03:47.000000,0,3,Tuesday,1,2.0,7.0,9.0,1,2025-24
CR-2350,Frequent VPN disconnections during peak hours,Software,Shang Chi,Shang Chi,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-06-10T05:03:30.000000,2025-06-10T07:03:30.000000,2025-06-11T06:03:30.000000,0,2,Tuesday,1,2.0,23.0,25.0,0,2025-24
CR-2351,Recurring time synchronization issues across servers,Software,Batman,Batman,Matrix,Service C,Closed,High,Medium,Low,Medium,2025-06-10T15:06:29.000000,2025-06-10T22:06:29.000000,2025-06-11T17:06:29.000000,0,1,Tuesday,1,7.0,19.0,26.0,0,2025-24
CR-2352,Random freezing of operating system on virtual desktops,Data,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Low,Low,Low,Low,2025-06-10T20:41:48.000000,2025-06-10T22:41:48.000000,2025-06-12T16:41:48.000000,1,0,Tuesday,0,2.0,42.0,44.0,0,2025-24
CR-2353,Random freezing of operating system on virtual desktops,Hardware,Captain America,Captain America,Avengers,Service A,On Hold,Low,Critical,High,High,2025-06-10T10:36:54.000000,,,0,4,Tuesday,1,,,,0,2025-24
CR-2354,Recurring SSL certificate errors for internal applications,Network,Spiderman,Spiderman,Avengers II,Service B,Closed,Medium,High,Medium,Low,2025-06-10T11:43:05.000000,2025-06-10T19:43:05.000000,2025-06-11T06:43:05.000000,1,2,Tuesday,0,8.0,11.0,19.0,1,2025-24
CR-2355,Unstable connection to remote branches over WAN,Software,Shang Chi,Shang Chi,Avengers II,Service B,In Progress,High,Medium,Medium,Medium,2025-06-10T14:33:51.000000,2025-06-10T17:33:51.000000,,1,1,Tuesday,0,3.0,,,0,2025-24
CR-2356,Inconsistent synchronization between production and reporting databases,Failure,Batman,Batman,Matrix,Service C,Closed,High,High,High,High,2025-06-10T01:13:09.000000,2025-06-10T08:13:09.000000,2025-06-10T16:13:09.000000,0,2,Tuesday,1,7.0,8.0,15.0,0,2025-24
CR-2357,Intermittent VoIP call quality issues and audio dropouts,Complaint,Hulk,Hulk,Avengers,Service C,Closed,High,Medium,Medium,Low,2025-06-10T13:08:44.000000,2025-06-10T18:08:44.000000,2025-06-12T03:08:44.000000,0,1,Tuesday,1,5.0,33.0,38.0,1,2025-24
CR-2358,Slow file access on shared network drives during business hours,Data,John Cena,John Cena,Matrix,Service A,Closed,High,Medium,Low,Low,2025-06-10T15:29:07.000000,2025-06-10T19:29:07.000000,2025-06-11T08:29:07.000000,0,2,Tuesday,1,4.0,13.0,17.0,0,2025-24
CR-2359,Recurring printing failures for specific printer models,Network,Hulk,Hulk,Avengers,Service C,Closed,Medium,High,High,High,2025-06-10T07:41:27.000000,2025-06-10T10:41:27.000000,2025-06-10T23:41:27.000000,0,3,Tuesday,1,3.0,13.0,16.0,1,2025-24
CR-2360,Periodic issues with remote desktop sessions not reconnecting,Facilities,Loki,Loki,Avengers,Service A,Closed,Medium,Medium,Low,Low,2025-06-10T05:08:56.000000,2025-06-10T08:08:56.000000,2025-06-11T15:08:56.000000,0,2,Tuesday,1,3.0,31.0,34.0,1,2025-24
CR-2361,Recurring performance degradation on core banking application,Network,Neo,Neo,Matrix,Service B,Closed,Low,Low,Low,Low,2025-06-10T09:37:49.000000,2025-06-10T17:37:49.000000,2025-06-12T21:37:49.000000,0,1,Tuesday,1,8.0,52.0,60.0,1,2025-24
CR-2362,Unexplained slow logon times for domain users,Hardware,Iron Man,Iron Man,Avengers,Service A,On Hold,Low,High,High,High,2025-06-10T15:15:31.000000,,,0,3,Tuesday,1,,,,0,2025-24
CR-2363,Intermittent VoIP call quality issues and audio dropouts,Software,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Medium,High,High,High,2025-06-10T07:25:03.000000,2025-06-10T13:25:03.000000,2025-06-10T23:25:03.000000,1,2,Tuesday,0,6.0,10.0,16.0,1,2025-24
CR-2364,Recurring time synchronization issues across servers,Network,Iron Man,Iron Man,Avengers,Service C,Closed,High,Medium,Low,Medium,2025-06-11T12:00:06.000000,2025-06-11T20:00:06.000000,2025-06-13T05:00:06.000000,0,2,Wednesday,1,8.0,33.0,41.0,1,2025-24
CR-2365,Intermittent VoIP call quality issues and audio dropouts,Network,Thor,Thor,Avengers,Service C,Closed,High,High,Medium,High,2025-06-11T12:02:34.000000,2025-06-11T14:02:34.000000,2025-06-12T02:02:34.000000,0,2,Wednesday,1,2.0,12.0,14.0,1,2025-24
CR-2366,Inconsistent access to archived email system,Complaint,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,Low,Critical,High,High,2025-06-11T21:29:02.000000,2025-06-12T02:29:02.000000,2025-06-12T05:29:02.000000,0,5,Wednesday,1,5.0,3.0,8.0,0,2025-24
CR-2367,Intermittent VoIP call quality issues and audio dropouts,Data,Spiderman,Spiderman,Avengers II,Service A,Closed,Medium,Critical,High,High,2025-06-11T18:17:11.000000,2025-06-11T21:17:11.000000,2025-06-12T00:17:11.000000,0,5,Wednesday,1,3.0,3.0,6.0,0,2025-24
