Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach
CR-14944,Grant access to restricted database for data analytics intern.,Access,Hulk,Hulk,Avengers,Service A,Closed,Medium,Critical,High,High,2025-06-08T09:23:01.000000,2025-06-08T11:23:01.000000,2025-06-08T14:23:01.000000,0,5,Sunday,1,2.0,3.0,5.0,0
CR-14945,Add two new access points to the office Wi-Fi network.,Hardware,Captain America,Captain America,Avengers,Service B,Closed,Medium,Critical,High,High,2025-06-08T19:33:38.000000,2025-06-09T03:33:38.000000,2025-06-09T12:33:38.000000,0,3,Sunday,1,8.0,9.0,17.0,1
CR-14946,Provisioning of VPN access for third-party vendor consultants.,Access,Batman,Batman,Matrix,Service C,Closed,Low,Medium,Low,Medium,2025-06-08T09:32:22.000000,2025-06-08T14:32:22.000000,2025-06-09T10:32:22.000000,1,1,Sunday,0,5.0,20.0,25.0,0
CR-14947,Setup repository access for junior developers.,Facilities,Hulk,Hulk,Avengers,Service C,Closed,Medium,Critical,Medium,High,2025-06-08T09:36:27.000000,2025-06-08T17:36:27.000000,2025-06-09T05:36:27.000000,0,5,Sunday,1,8.0,12.0,20.0,1
CR-14948,Troubleshoot application access issues related to role change.,Complaint,Neo,Neo,Matrix,Service A,Closed,Low,Low,Low,Low,2025-06-08T04:14:10.000000,2025-06-08T09:14:10.000000,2025-06-11T08:14:10.000000,0,0,Sunday,1,5.0,71.0,76.0,1
CR-14949,Request to enable remote access to on-site servers.,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Low,Low,Low,Low,2025-06-08T11:40:30.000000,2025-06-08T17:40:30.000000,2025-06-11T16:40:30.000000,0,0,Sunday,1,6.0,71.0,77.0,1
CR-14950,Request to delete unused virtual machines in non-production environment.,Hardware,Spiderman,Spiderman,Avengers II,Service C,Closed,High,High,High,High,2025-06-08T13:06:26.000000,2025-06-08T16:06:26.000000,2025-06-09T12:06:26.000000,0,2,Sunday,1,3.0,20.0,23.0,1
CR-14951,Create subdomain for new departmental website launch.,Failure,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Medium,Medium,Low,Low,2025-06-08T06:48:20.000000,2025-06-08T09:48:20.000000,2025-06-09T10:48:20.000000,1,2,Sunday,0,3.0,25.0,28.0,1
CR-14952,Configuration update needed for internal voice gateway routing.,Software,Spiderman,Spiderman,Avengers II,Service B,Closed,Medium,Medium,Medium,Medium,2025-06-08T13:07:12.000000,2025-06-08T18:07:12.000000,2025-06-09T12:07:12.000000,0,2,Sunday,1,5.0,18.0,23.0,0
CR-14953,Provisioning of VPN access for third-party vendor consultants.,Network,Thor,Thor,Avengers,Service A,Closed,High,Critical,High,High,2025-06-08T04:09:20.000000,2025-06-08T11:09:20.000000,2025-06-08T12:09:20.000000,0,3,Sunday,1,7.0,1.0,8.0,0
CR-14954,Setup repository access for junior developers.,Network,Hulk,Hulk,Avengers,Service A,Closed,High,Critical,High,High,2025-06-08T15:50:36.000000,2025-06-08T23:50:36.000000,2025-06-09T08:50:36.000000,0,3,Sunday,1,8.0,9.0,17.0,1
CR-14955,Setup repository access for junior developers.,Software,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Medium,Medium,Low,Medium,2025-06-08T17:34:08.000000,2025-06-08T21:34:08.000000,2025-06-09T10:34:08.000000,0,2,Sunday,1,4.0,13.0,17.0,0
CR-14956,Create custom email signature for company branding.,Complaint,Hulk,Hulk,Avengers,Service A,Closed,High,Low,Low,Low,2025-06-08T15:12:08.000000,2025-06-08T17:12:08.000000,2025-06-09T22:12:08.000000,0,0,Sunday,1,2.0,29.0,31.0,0
CR-14957,Enable multi-factor authentication for remote developers.,Complaint,Neo,Neo,Matrix,Service B,Closed,Medium,High,High,Medium,2025-06-08T19:23:55.000000,2025-06-09T01:23:55.000000,2025-06-09T07:23:55.000000,0,3,Sunday,1,6.0,6.0,12.0,0
CR-14958,Request to access internal SharePoint site for the Finance department.,Failure,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Medium,Medium,Low,Medium,2025-06-08T13:26:03.000000,2025-06-08T18:26:03.000000,2025-06-10T06:26:03.000000,0,2,Sunday,1,5.0,36.0,41.0,1
CR-14959,Configure alerts for reporting dashboard thresholds.,Hardware,Captain America,Captain America,Avengers,Service B,Closed,Low,Medium,Medium,Medium,2025-06-08T21:54:03.000000,2025-06-08T23:54:03.000000,2025-06-09T12:54:03.000000,0,1,Sunday,1,2.0,13.0,15.0,0
CR-14960,Request for extended quota on shared email inbox.,Complaint,Hulk,Hulk,Avengers,Service A,New,High,High,High,High,2025-06-09T17:27:05.000000,,,0,3,Monday,1,0.0,0.0,0.0,0
CR-14961,Troubleshoot application access issues related to role change.,Access,Captain America,Captain America,Avengers,Service A,Closed,Medium,Medium,Medium,Medium,2025-06-09T00:10:24.000000,2025-06-09T07:10:24.000000,2025-06-10T08:10:24.000000,1,2,Monday,0,7.0,25.0,32.0,1
CR-14962,Document retention policy modification for compliance purposes.,Complaint,Neo,Neo,Matrix,Service A,Closed,Low,Critical,Medium,High,2025-06-09T13:08:45.000000,2025-06-09T18:08:45.000000,2025-06-10T04:08:45.000000,0,5,Monday,1,5.0,10.0,15.0,1
CR-14963,Provisioning of VPN access for third-party vendor consultants.,Failure,Neo,Neo,Matrix,Service B,Closed,High,Medium,Medium,Medium,2025-06-09T06:14:56.000000,2025-06-09T10:14:56.000000,2025-06-10T05:14:56.000000,0,2,Monday,1,4.0,19.0,23.0,0
CR-14964,Request to create test environment for application testing.,Access,Captain America,Captain America,Avengers,Service A,Closed,High,High,High,Medium,2025-06-09T17:29:09.000000,2025-06-10T01:29:09.000000,2025-06-10T11:29:09.000000,0,2,Monday,1,8.0,10.0,18.0,0
CR-14965,Create custom email signature for company branding.,Facilities,Spiderman,Spiderman,Avengers II,Service A,Closed,Medium,Medium,Low,Medium,2025-06-09T00:25:44.000000,2025-06-09T06:25:44.000000,2025-06-09T21:25:44.000000,0,2,Monday,1,6.0,15.0,21.0,0
CR-14966,Request to create container image repository for DevOps team.,Data,Thor,Thor,Avengers,Service C,Closed,Low,High,High,High,2025-06-09T09:01:17.000000,2025-06-09T15:01:17.000000,2025-06-10T08:01:17.000000,0,3,Monday,1,6.0,17.0,23.0,1
CR-14967,Add two new access points to the office Wi-Fi network.,Data,Hulk,Hulk,Avengers,Service C,Closed,Low,Critical,High,High,2025-06-09T23:35:42.000000,2025-06-10T05:35:42.000000,2025-06-10T16:35:42.000000,0,5,Monday,1,6.0,11.0,17.0,1
CR-14968,Activate mobile application access for workflow approvals.,Failure,Captain America,Captain America,Avengers,Service C,Closed,High,Medium,Medium,Medium,2025-06-09T22:03:29.000000,2025-06-10T01:03:29.000000,2025-06-11T10:03:29.000000,0,2,Monday,1,3.0,33.0,36.0,1
CR-14969,Configure alerts for reporting dashboard thresholds.,Access,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,High,Medium,Medium,Low,2025-06-09T21:00:13.000000,2025-06-10T01:00:13.000000,2025-06-11T00:00:13.000000,1,1,Monday,0,4.0,23.0,27.0,0
CR-14970,Upgrade workstation RAM for improved video editing performance.,Hardware,Hulk,Hulk,Avengers,Service C,Closed,High,Low,Low,Low,2025-06-09T12:34:01.000000,2025-06-09T17:34:01.000000,2025-06-12T07:34:01.000000,0,1,Monday,1,5.0,62.0,67.0,1
CR-14971,Provision special access profiles for GDPR compliance audits.,Network,Iron Man,Iron Man,Avengers,Service B,Closed,High,Critical,High,High,2025-06-09T01:00:30.000000,2025-06-09T06:00:30.000000,2025-06-09T15:00:30.000000,0,3,Monday,1,5.0,9.0,14.0,1
CR-14972,Request to install Python libraries on student laptops.,Data,Captain America,Captain America,Avengers,Service A,Closed,High,Critical,High,High,2025-06-09T16:50:43.000000,2025-06-09T20:50:43.000000,2025-06-10T07:50:43.000000,0,5,Monday,1,4.0,11.0,15.0,1
CR-14973,Request to enable remote access to on-site servers.,Hardware,Spiderman,Spiderman,Avengers II,Service A,New,High,Medium,Medium,Medium,2025-06-09T10:53:32.000000,,,0,2,Monday,1,0.0,0.0,0.0,0
CR-14974,Provision external storage for graphics design project.,Failure,Batman,Batman,Matrix,Service A,Closed,Low,High,High,High,2025-06-09T00:20:38.000000,2025-06-09T05:20:38.000000,2025-06-10T04:20:38.000000,0,2,Monday,1,5.0,23.0,28.0,1
CR-14975,Change access rights on shared folder for team lead.,Complaint,Shang Chi,Shang Chi,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-06-09T01:20:06.000000,2025-06-09T03:20:06.000000,2025-06-10T03:20:06.000000,0,1,Monday,1,2.0,24.0,26.0,0
CR-14976,Request for secure deletion of files on retired desktops.,Network,Neo,Neo,Matrix,Service B,On Hold,High,Medium,Medium,Medium,2025-06-09T02:44:09.000000,,,0,2,Monday,1,0.0,0.0,0.0,0
CR-14977,Provisioning of VPN access for third-party vendor consultants.,Complaint,John Wick,John Wick,Matrix,Service B,Closed,Low,Medium,Medium,Low,2025-06-09T22:08:11.000000,2025-06-10T02:08:11.000000,2025-06-11T03:08:11.000000,0,1,Monday,1,4.0,25.0,29.0,1
CR-14978,Request for cloud storage account provisioning for upcoming project.,Access,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,High,High,High,2025-06-09T02:49:06.000000,2025-06-09T09:49:06.000000,2025-06-09T20:49:06.000000,1,2,Monday,0,7.0,11.0,18.0,0
CR-14979,Request to install Python libraries on student laptops.,Network,Loki,Loki,Avengers,Service A,Closed,Low,High,High,High,2025-06-09T19:01:52.000000,2025-06-10T02:01:52.000000,2025-06-10T19:01:52.000000,0,2,Monday,1,7.0,17.0,24.0,1
CR-14980,Upgrade workstation RAM for improved video editing performance.,Complaint,Spiderman,Spiderman,Avengers II,Service C,Closed,Medium,Low,Low,Low,2025-06-09T02:44:42.000000,2025-06-09T07:44:42.000000,2025-06-10T10:44:42.000000,0,0,Monday,1,5.0,27.0,32.0,0
CR-14981,Change access rights on shared folder for team lead.,Facilities,Loki,Loki,Avengers,Service B,On Hold,Low,High,Medium,Medium,2025-06-09T11:18:47.000000,,,0,3,Monday,1,0.0,0.0,0.0,0
CR-14982,Re-enable accounts for recent employee returning after leave.,Failure,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,Medium,Medium,Medium,Medium,2025-06-09T05:42:01.000000,2025-06-09T13:42:01.000000,2025-06-10T02:42:01.000000,0,2,Monday,1,8.0,13.0,21.0,0
CR-14983,Provisioning of VPN access for third-party vendor consultants.,Hardware,Neo,Neo,Matrix,Service B,Closed,High,Medium,Medium,Medium,2025-06-09T05:13:52.000000,2025-06-09T11:13:52.000000,2025-06-10T02:13:52.000000,0,1,Monday,1,6.0,15.0,21.0,0
CR-14984,Provisioning of VPN access for third-party vendor consultants.,Complaint,Thor,Thor,Avengers,Service C,Closed,Low,Critical,High,Medium,2025-06-09T05:37:04.000000,2025-06-09T07:37:04.000000,2025-06-09T11:37:04.000000,0,3,Monday,1,2.0,4.0,6.0,0
CR-14985,Extend mailbox retention policy for legal department emails.,Data,Loki,Loki,Avengers,Service A,Closed,Medium,Critical,High,High,2025-06-09T12:19:29.000000,2025-06-09T15:19:29.000000,2025-06-10T01:19:29.000000,0,5,Monday,1,3.0,10.0,13.0,1
CR-14986,Request to adjust permissions on shared inbox handling invoices.,Facilities,Captain America,Captain America,Avengers,Service B,Closed,Medium,Critical,High,High,2025-06-09T15:14:53.000000,2025-06-09T23:14:53.000000,2025-06-10T08:14:53.000000,0,5,Monday,1,8.0,9.0,17.0,1
CR-14987,Activate mobile application access for workflow approvals.,Network,Thor,Thor,Avengers,Service B,Closed,High,Critical,High,Medium,2025-06-09T03:32:12.000000,2025-06-09T06:32:12.000000,2025-06-09T13:32:12.000000,0,3,Monday,1,3.0,7.0,10.0,1
CR-14988,Change access rights on shared folder for team lead.,Hardware,John Wick,John Wick,Matrix,Service A,Closed,Low,Critical,High,Medium,2025-06-09T10:03:37.000000,2025-06-09T14:03:37.000000,2025-06-10T00:03:37.000000,1,3,Monday,0,4.0,10.0,14.0,1
CR-14989,Request to create a new distribution list for the Marketing team.,Software,Hulk,Hulk,Avengers,Service C,Closed,Medium,Critical,High,High,2025-06-09T03:01:25.000000,2025-06-09T06:01:25.000000,2025-06-09T12:01:25.000000,0,4,Monday,1,3.0,6.0,9.0,1
CR-14990,Provision external storage for graphics design project.,Data,Spiderman,Spiderman,Avengers II,Service A,New,Low,Medium,Medium,Medium,2025-06-09T15:16:04.000000,,,1,1,Monday,0,0.0,0.0,0.0,0
CR-14991,Request for cloud storage account provisioning for upcoming project.,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Low,Critical,High,High,2025-06-09T17:28:52.000000,2025-06-09T21:28:52.000000,2025-06-10T01:28:52.000000,0,3,Monday,1,4.0,4.0,8.0,0
CR-14992,Enable high-availability configuration on two production servers.,Software,Loki,Loki,Avengers,Service A,Closed,High,Medium,Low,Low,2025-06-09T23:07:38.000000,2025-06-10T02:07:38.000000,2025-06-11T04:07:38.000000,0,2,Monday,1,3.0,26.0,29.0,1
CR-14993,Request to create a new distribution list for the Marketing team.,Facilities,John Wick,John Wick,Matrix,Service A,Closed,Low,High,High,Medium,2025-06-09T03:29:34.000000,2025-06-09T10:29:34.000000,2025-06-09T22:29:34.000000,0,3,Monday,1,7.0,12.0,19.0,0
CR-14994,Request to add new printer to network for HR department.,Data,Hulk,Hulk,Avengers,Service A,Closed,Low,Medium,Medium,Low,2025-06-09T22:49:59.000000,2025-06-10T05:49:59.000000,2025-06-10T22:49:59.000000,0,2,Monday,1,7.0,17.0,24.0,0
CR-14995,Configuration update needed for internal voice gateway routing.,Software,Iron Man,Iron Man,Avengers,Service B,Closed,Low,Medium,Medium,Medium,2025-06-09T23:47:45.000000,2025-06-10T02:47:45.000000,2025-06-10T21:47:45.000000,0,2,Monday,1,3.0,19.0,22.0,0
CR-14996,Request to add new printer to network for HR department.,Failure,Iron Man,Iron Man,Avengers,Service C,Closed,Low,High,High,High,2025-06-09T14:14:09.000000,2025-06-09T17:14:09.000000,2025-06-10T07:14:09.000000,0,3,Monday,1,3.0,14.0,17.0,0
CR-14997,Add two new access points to the office Wi-Fi network.,Network,John Wick,John Wick,Matrix,Service A,Closed,High,Critical,High,High,2025-06-09T17:03:04.000000,2025-06-09T22:03:04.000000,2025-06-10T03:03:04.000000,0,4,Monday,1,5.0,5.0,10.0,1
CR-14998,Request to adjust permissions on shared inbox handling invoices.,Software,Captain Marvel,Captain Marvel,Avengers II,Service A,On Hold,High,Low,Low,Low,2025-06-09T00:17:12.000000,,,0,0,Monday,1,0.0,0.0,0.0,0
CR-14999,Update public holiday calendar in corporate Outlook accounts.,Access,Shang Chi,Shang Chi,Avengers II,Service C,On Hold,Low,Medium,Medium,Medium,2025-06-09T16:35:18.000000,,,0,1,Monday,1,0.0,0.0,0.0,0
CR-15000,Upgrade Oracle database version to meet system requirements.,Complaint,Loki,Loki,Avengers,Service C,Closed,Medium,High,High,Medium,2025-06-09T15:06:38.000000,2025-06-09T22:06:38.000000,2025-06-10T18:06:38.000000,0,3,Monday,1,7.0,20.0,27.0,1
CR-15001,Request to adjust permissions on shared inbox handling invoices.,Complaint,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,High,High,Medium,2025-06-09T16:59:04.000000,2025-06-09T18:59:04.000000,2025-06-10T10:59:04.000000,0,2,Monday,1,2.0,16.0,18.0,0
CR-15002,Replace hardware for malfunctioning conference room equipment.,Access,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,Critical,High,High,2025-06-09T22:32:42.000000,2025-06-10T06:32:42.000000,2025-06-10T17:32:42.000000,0,3,Monday,1,8.0,11.0,19.0,1
CR-15003,Request to create and configure backup jobs for departmental database.,Facilities,Captain America,Captain America,Avengers,Service C,Closed,Medium,Medium,Medium,Low,2025-06-09T05:12:39.000000,2025-06-09T11:12:39.000000,2025-06-10T10:12:39.000000,0,1,Monday,1,6.0,23.0,29.0,0
CR-15004,Reassign ownership of project management tools to new team lead.,Software,Captain America,Captain America,Avengers,Service C,On Hold,Medium,High,Medium,Medium,2025-06-09T19:23:55.000000,,,0,2,Monday,1,0.0,0.0,0.0,0
CR-15005,Enable high-availability configuration on two production servers.,Software,Thor,Thor,Avengers,Service A,New,Low,Critical,High,High,2025-06-09T23:03:22.000000,,,0,4,Monday,1,0.0,0.0,0.0,0
CR-15006,Request to create and configure backup jobs for departmental database.,Network,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Low,High,Medium,Medium,2025-06-09T22:47:01.000000,2025-06-10T00:47:01.000000,2025-06-10T08:47:01.000000,0,2,Monday,1,2.0,8.0,10.0,0
CR-15007,Enable high-availability configuration on two production servers.,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-06-09T13:22:13.000000,2025-06-09T21:22:13.000000,2025-06-10T19:22:13.000000,0,1,Monday,1,8.0,22.0,30.0,0
CR-15008,Provision external storage for graphics design project.,Software,Spiderman,Spiderman,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-06-09T04:15:48.000000,2025-06-09T09:15:48.000000,2025-06-10T12:15:48.000000,1,2,Monday,0,5.0,27.0,32.0,1
CR-15009,Update employee badge photo in internal directory.,Access,John Wick,John Wick,Matrix,Service B,Closed,Medium,Critical,High,Medium,2025-06-09T16:31:06.000000,2025-06-09T23:31:06.000000,2025-06-10T10:31:06.000000,1,3,Monday,0,7.0,11.0,18.0,1
CR-15010,Provision special access profiles for GDPR compliance audits.,Complaint,Neo,Neo,Matrix,Service C,Closed,High,Critical,High,High,2025-06-09T18:05:03.000000,2025-06-09T20:05:03.000000,2025-06-10T02:05:03.000000,0,4,Monday,1,2.0,6.0,8.0,1
CR-15011,Update employee badge photo in internal directory.,Hardware,Hulk,Hulk,Avengers,Service B,Closed,High,Medium,Medium,Medium,2025-06-09T21:42:42.000000,2025-06-10T03:42:42.000000,2025-06-11T11:42:42.000000,0,2,Monday,1,6.0,32.0,38.0,1
CR-15012,Setup repository access for junior developers.,Data,Captain America,Captain America,Avengers,Service A,On Hold,High,Low,Low,Low,2025-06-09T13:37:23.000000,,,0,1,Monday,1,0.0,0.0,0.0,0
CR-15013,Request to create test environment for application testing.,Data,Iron Man,Iron Man,Avengers,Service C,Closed,Low,Critical,High,High,2025-06-09T11:59:41.000000,2025-06-09T13:59:41.000000,2025-06-09T22:59:41.000000,1,4,Monday,0,2.0,9.0,11.0,1
CR-15014,Install Adobe Creative Suite on workstation for design team.,Complaint,Captain America,Captain America,Avengers,Service C,Closed,Medium,Critical,High,High,2025-06-09T22:07:18.000000,2025-06-10T01:07:18.000000,2025-06-10T06:07:18.000000,0,5,Monday,1,3.0,5.0,8.0,1
CR-15015,Request to delete unused virtual machines in non-production environment.,Facilities,Spiderman,Spiderman,Avengers II,Service A,Closed,Medium,Medium,Medium,Medium,2025-06-09T10:00:29.000000,2025-06-09T18:00:29.000000,2025-06-10T13:00:29.000000,0,2,Monday,1,8.0,19.0,27.0,0
CR-15016,Request to create test environment for application testing.,Access,Hulk,Hulk,Avengers,Service B,On Hold,Low,Critical,High,High,2025-06-09T18:11:30.000000,,,0,4,Monday,1,0.0,0.0,0.0,0
CR-15017,Install Adobe Creative Suite on workstation for design team.,Data,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Low,Medium,Low,Medium,2025-06-09T18:48:43.000000,2025-06-10T00:48:43.000000,2025-06-11T07:48:43.000000,1,1,Monday,0,6.0,31.0,37.0,1
CR-15018,Request to enable remote access to on-site servers.,Data,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Low,High,High,High,2025-06-09T09:06:24.000000,2025-06-09T15:06:24.000000,2025-06-10T05:06:24.000000,0,2,Monday,1,6.0,14.0,20.0,0
CR-15019,Request to access internal SharePoint site for the Finance department.,Facilities,Iron Man,Iron Man,Avengers,Service C,Closed,Low,Medium,Medium,Medium,2025-06-09T02:40:22.000000,2025-06-09T06:40:22.000000,2025-06-10T17:40:22.000000,0,2,Monday,1,4.0,35.0,39.0,1
CR-15020,Request to access internal SharePoint site for the Finance department.,Access,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Medium,Medium,Medium,Medium,2025-06-09T08:42:21.000000,2025-06-09T11:42:21.000000,2025-06-10T05:42:21.000000,1,2,Monday,0,3.0,18.0,21.0,0
CR-15021,Enable high-availability configuration on two production servers.,Access,Iron Man,Iron Man,Avengers,Service A,Closed,Low,High,Medium,High,2025-06-09T17:25:51.000000,2025-06-10T01:25:51.000000,2025-06-10T15:25:51.000000,0,3,Monday,1,8.0,14.0,22.0,0
CR-15022,Request to add new printer to network for HR department.,Software,Batman,Batman,Matrix,Service C,Closed,Medium,Low,Low,Low,2025-06-09T16:08:43.000000,2025-06-10T00:08:43.000000,2025-06-12T11:08:43.000000,0,1,Monday,1,8.0,59.0,67.0,1
CR-15023,Enable high-availability configuration on two production servers.,Facilities,Iron Man,Iron Man,Avengers,Service A,New,Medium,High,High,High,2025-06-09T16:58:07.000000,,,0,2,Monday,1,0.0,0.0,0.0,0
CR-15024,Provisioning of VPN access for third-party vendor consultants.,Network,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Low,High,Medium,High,2025-06-09T19:59:03.000000,2025-06-09T22:59:03.000000,2025-06-10T18:59:03.000000,1,3,Monday,0,3.0,20.0,23.0,1
CR-15025,Request to enable remote access to on-site servers.,Failure,Captain America,Captain America,Avengers,Service C,Closed,Low,High,High,High,2025-06-09T02:25:08.000000,2025-06-09T04:25:08.000000,2025-06-09T17:25:08.000000,1,2,Monday,0,2.0,13.0,15.0,0
CR-15026,Re-enable accounts for recent employee returning after leave.,Facilities,Neo,Neo,Matrix,Service A,Closed,High,Critical,High,High,2025-06-09T00:47:56.000000,2025-06-09T08:47:56.000000,2025-06-09T12:47:56.000000,1,4,Monday,0,8.0,4.0,12.0,0
CR-15027,Document retention policy modification for compliance purposes.,Software,John Wick,John Wick,Matrix,Service C,Closed,Low,Medium,Medium,Medium,2025-06-09T11:36:37.000000,2025-06-09T14:36:37.000000,2025-06-10T13:36:37.000000,0,1,Monday,1,3.0,23.0,26.0,0
CR-15028,Request to create test environment for application testing.,Failure,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Low,High,High,High,2025-06-09T18:46:45.000000,2025-06-10T01:46:45.000000,2025-06-10T17:46:45.000000,0,2,Monday,1,7.0,16.0,23.0,0
CR-15029,Replace hardware for malfunctioning conference room equipment.,Access,Thor,Thor,Avengers,Service B,Closed,Medium,Medium,Medium,Low,2025-06-09T09:51:34.000000,2025-06-09T16:51:34.000000,2025-06-10T18:51:34.000000,0,2,Monday,1,7.0,26.0,33.0,1
CR-15030,Relocation of desktop workstation within the office premises.,Network,Batman,Batman,Matrix,Service C,Closed,Medium,Medium,Medium,Medium,2025-06-09T02:30:10.000000,2025-06-09T08:30:10.000000,2025-06-10T11:30:10.000000,0,1,Monday,1,6.0,27.0,33.0,1
CR-15031,Setup repository access for junior developers.,Data,Thor,Thor,Avengers,Service B,Closed,Low,Critical,High,High,2025-06-09T22:23:14.000000,2025-06-10T05:23:14.000000,2025-06-10T11:23:14.000000,0,5,Monday,1,7.0,6.0,13.0,1
CR-15032,Install Adobe Creative Suite on workstation for design team.,Complaint,Captain America,Captain America,Avengers,Service A,In Progress,Low,Medium,Medium,Medium,2025-06-09T04:50:51.000000,2025-06-09T06:50:51.000000,,0,2,Monday,1,2.0,0.0,0.0,0
CR-15033,Create custom email signature for company branding.,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,High,High,High,Medium,2025-06-09T18:18:40.000000,2025-06-10T02:18:40.000000,2025-06-10T19:18:40.000000,0,3,Monday,1,8.0,17.0,25.0,1
CR-15034,Add two new access points to the office Wi-Fi network.,Hardware,Thor,Thor,Avengers,Service A,Closed,High,High,Medium,Medium,2025-06-09T18:19:16.000000,2025-06-10T01:19:16.000000,2025-06-10T15:19:16.000000,1,3,Monday,0,7.0,14.0,21.0,0
CR-15035,Grant access to restricted database for data analytics intern.,Complaint,Loki,Loki,Avengers,Service A,Closed,High,Low,Low,Low,2025-06-09T06:53:27.000000,2025-06-09T12:53:27.000000,2025-06-12T12:53:27.000000,1,0,Monday,0,6.0,72.0,78.0,1
CR-15036,Request for secure deletion of files on retired desktops.,Access,Jack Sparrow,Jack Sparrow,Matrix,Service B,New,Low,Critical,High,High,2025-06-09T00:18:15.000000,,,0,4,Monday,1,0.0,0.0,0.0,0
CR-15037,Request to move group mailbox ownership to new manager.,Failure,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,High,High,High,Medium,2025-06-09T02:06:15.000000,2025-06-09T09:06:15.000000,2025-06-09T15:06:15.000000,1,2,Monday,0,7.0,6.0,13.0,0
CR-15038,Request to create test environment for application testing.,Access,Shang Chi,Shang Chi,Avengers II,Service A,On Hold,Medium,Critical,High,High,2025-06-09T17:27:48.000000,,,0,5,Monday,1,0.0,0.0,0.0,0
CR-15039,Extend mailbox retention policy for legal department emails.,Software,Spiderman,Spiderman,Avengers II,Service B,Closed,High,Critical,High,High,2025-06-09T12:17:00.000000,2025-06-09T14:17:00.000000,2025-06-09T19:17:00.000000,0,4,Monday,1,2.0,5.0,7.0,1
CR-15040,User asking for permissions to install additional software.,Hardware,Iron Man,Iron Man,Avengers,Service B,Closed,High,High,High,Medium,2025-06-09T17:00:52.000000,2025-06-10T01:00:52.000000,2025-06-10T11:00:52.000000,1,3,Monday,0,8.0,10.0,18.0,0
CR-15041,Provision special access profiles for GDPR compliance audits.,Network,Spiderman,Spiderman,Avengers II,Service B,Closed,Low,Medium,Medium,Medium,2025-06-09T22:41:05.000000,2025-06-10T04:41:05.000000,2025-06-11T15:41:05.000000,0,1,Monday,1,6.0,35.0,41.0,1
CR-15042,Provision external storage for graphics design project.,Hardware,Batman,Batman,Matrix,Service A,Closed,High,Medium,Medium,Medium,2025-06-09T01:04:14.000000,2025-06-09T04:04:14.000000,2025-06-09T16:04:14.000000,0,2,Monday,1,3.0,12.0,15.0,0
CR-15043,Request to create and configure backup jobs for departmental database.,Software,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,High,Medium,Low,Low,2025-06-09T05:00:07.000000,2025-06-09T10:00:07.000000,2025-06-10T11:00:07.000000,0,2,Monday,1,5.0,25.0,30.0,1
CR-15044,Install licensed Microsoft Visio on a department computer.,Network,Spiderman,Spiderman,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-06-09T07:27:15.000000,2025-06-09T10:27:15.000000,2025-06-10T15:27:15.000000,1,1,Monday,0,3.0,29.0,32.0,1
CR-15045,Request for extended quota on shared email inbox.,Software,Thor,Thor,Avengers,Service A,Closed,High,Medium,Low,Medium,2025-06-09T08:53:11.000000,2025-06-09T15:53:11.000000,2025-06-10T18:53:11.000000,0,1,Monday,1,7.0,27.0,34.0,1
CR-15046,Create subdomain for new departmental website launch.,Network,Neo,Neo,Matrix,Service A,Closed,High,Low,Low,Low,2025-06-09T05:22:31.000000,2025-06-09T11:22:31.000000,2025-06-12T09:22:31.000000,0,0,Monday,1,6.0,70.0,76.0,1
CR-15047,Request for extended quota on shared email inbox.,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Medium,Medium,Low,Medium,2025-06-09T12:16:38.000000,2025-06-09T18:16:38.000000,2025-06-10T20:16:38.000000,0,1,Monday,1,6.0,26.0,32.0,1
