Number,Short description,Change Environment,Requested by,Assigned to,Assignment group,Service,State,Risk score,Priority,Urgency,Impact,Created,Actual start,Closed,Day,Actual end
CR-18855,Data breach notification sent to affected users.,Facilities,Peter,Captain America,Avengers II,Service C,Closed,Low,High,Medium,High,27/06/2025 11:38:19,27/06/2025 16:13:30,29/06/2025 03:52:47,Friday,29/06/2025 03:52:47
CR-18856,Suspicious behavior: Multiple failed login attempts detected.,Facilities,Peter,Martin,Avengers II,Service C,Closed,Low,Medium,High,High,27/06/2025 13:52:18,27/06/2025 19:23:15,28/06/2025 07:56:02,Friday,28/06/2025 07:56:02
CR-18857,Unencrypted sensitive file shared externally.,Data,Iron Man,Hulk,Matrix,Service B,Closed,Medium,Low,Low,Low,27/06/2025 14:18:51,27/06/2025 17:16:01,28/06/2025 09:56:15,Friday,28/06/2025 09:56:15
CR-18858,Malicious macro executed within Office file.,Facilities,Peter,Black Panther,Avengers II,Service B,Closed,Low,Medium,High,Medium,27/06/2025 01:50:20,27/06/2025 04:20:37,28/06/2025 15:02:23,Friday,28/06/2025 15:02:23
CR-18859,Server reboot required: Kernel update incomplete.,Hardware,Captain America,Jan,Avengers,Service C,Closed,High,High,High,Low,27/06/2025 00:49:46,27/06/2025 07:05:16,27/06/2025 15:58:35,Friday,27/06/2025 15:58:35
CR-18860,Security patch applied: Monitoring for any issues.,Software,Iron Man,Michal,Matrix,Service B,Closed,Medium,Low,Low,Low,27/06/2025 06:55:36,27/06/2025 15:17:24,28/06/2025 04:27:31,Friday,28/06/2025 04:27:31
CR-18861,Performance report: Sluggish response times on application.,Access,Thor,John Wick,Avengers,Service B,Closed,Medium,Medium,Medium,High,27/06/2025 19:30:04,28/06/2025 01:05:43,29/06/2025 15:05:48,Friday,29/06/2025 15:05:48
CR-18862,VPN connection failure: Unable to securely tunnel data.,Failure,Hulk,Michal,Avengers II,Service C,Closed,Low,Low,High,Medium,27/06/2025 23:11:04,28/06/2025 02:15:07,29/06/2025 04:49:12,Friday,29/06/2025 04:49:12
CR-18863,File integrity check failed: Data corruption suspected.,Facilities,Martin,John Wick,Matrix,Service A,New,Low,Low,High,High,27/06/2025 12:18:31,,,Friday,
CR-18864,Unpatched vulnerability flagged: CVE report mismatch detected.,Failure,Martin,Jan,Avengers II,Service C,In Progress,Low,High,High,Medium,27/06/2025 13:38:17,27/06/2025 19:01:25,,Friday,
CR-18865,Suspicious API calls detected: Abnormal volume of requests identified.,Network,Michal,Michal,Matrix,Service A,Closed,Medium,Low,Medium,High,27/06/2025 23:50:47,28/06/2025 04:57:40,29/06/2025 14:59:35,Friday,29/06/2025 14:59:35
CR-18866,Suspicious behavior: Multiple failed login attempts detected.,Hardware,John Wick,Black Panther,Avengers,Service A,Closed,Low,Low,Medium,Low,27/06/2025 09:59:16,27/06/2025 17:24:54,28/06/2025 01:44:18,Friday,28/06/2025 01:44:18
CR-18867,Social engineering attempt flagged: Fake support request identified.,Hardware,Black Panther,Martin,Avengers II,Service C,Closed,Medium,High,Low,High,27/06/2025 17:31:49,27/06/2025 20:55:38,28/06/2025 11:01:06,Friday,28/06/2025 11:01:06
CR-18868,Database schema corruption: Unable to read or query data tables.,Data,Iron Man,Jan,Avengers II,Service C,Closed,Medium,Low,High,Medium,27/06/2025 02:15:42,27/06/2025 06:49:34,28/06/2025 19:34:38,Friday,28/06/2025 19:34:38
CR-18869,Failed encryption process: Unable to secure sensitive data.,Failure,Black Panther,Thor,Avengers II,Service C,Closed,Medium,Medium,High,Medium,27/06/2025 03:13:11,27/06/2025 08:28:49,28/06/2025 07:46:42,Friday,28/06/2025 07:46:42
CR-18870,Failed Workflow - ID: 0000,Hardware,Martin,John Wick,Avengers II,Service C,Closed,Low,Low,High,Medium,27/06/2025 09:42:03,27/06/2025 15:19:59,29/06/2025 02:11:38,Friday,29/06/2025 02:11:38
CR-18871,Expired password reset request: User notified.,Access,John Wick,Michal,Matrix,Service C,Closed,Low,High,Low,Low,27/06/2025 18:20:21,27/06/2025 21:59:00,29/06/2025 13:18:24,Friday,29/06/2025 13:18:24
CR-18872,Unauthorized access attempt detected: IP flagged as suspicious.,Data,Thor,Thor,Avengers,Service B,Closed,Low,Medium,Medium,Medium,27/06/2025 15:59:18,27/06/2025 21:15:13,29/06/2025 16:18:36,Friday,29/06/2025 16:18:36
CR-18873,Database transaction rollback error flagged for audit.,Network,Jan,Captain America,Avengers II,Service C,Closed,Low,Medium,Medium,Low,27/06/2025 17:10:36,28/06/2025 00:28:39,29/06/2025 06:04:49,Friday,29/06/2025 06:04:49
CR-18874,Network issue: Unable to connect to external API.,Facilities,Jan,Thor,Avengers II,Service A,Closed,Low,High,High,Medium,27/06/2025 10:07:34,27/06/2025 17:35:33,28/06/2025 01:05:21,Friday,28/06/2025 01:05:21
CR-18875,Cross-site scripting (XSS) detected on customer portal.,Facilities,Jan,Thor,Matrix,Service A,Closed,Medium,High,Low,Medium,27/06/2025 14:47:18,27/06/2025 18:27:48,28/06/2025 13:21:39,Friday,28/06/2025 13:21:39
CR-18876,Suspicious activity detected on account: User A.,Network,Michal,John Wick,Matrix,Service B,In Progress,Medium,High,Medium,High,27/06/2025 09:01:54,27/06/2025 15:09:25,,Friday,
CR-18877,Malware alert: Suspicious executable flagged during scan.,Hardware,Thor,Jan,Matrix,Service B,Closed,High,Low,High,Low,27/06/2025 23:04:21,28/06/2025 05:20:24,29/06/2025 21:06:36,Friday,29/06/2025 21:06:36
CR-18878,Critical security incident logged: Immediate remediation required.,Access,Hulk,Black Panther,Avengers II,Service A,Closed,Medium,High,Medium,High,27/06/2025 08:22:05,27/06/2025 14:08:45,28/06/2025 06:21:14,Friday,28/06/2025 06:21:14
CR-18879,Internal network inaccessible: Ping requests time out.,Network,John Wick,Thor,Avengers,Service C,Closed,Low,High,High,Medium,27/06/2025 02:45:18,27/06/2025 08:26:24,27/06/2025 11:32:13,Friday,27/06/2025 11:32:13
CR-18880,Firewall breach: Unauthorized access through open port.,Access,Michal,Thor,Avengers II,Service A,Closed,Medium,Low,Medium,Low,27/06/2025 08:33:36,27/06/2025 11:18:41,29/06/2025 04:17:40,Friday,29/06/2025 04:17:40
CR-18881,Performance report: Sluggish response times on application.,Failure,Hulk,Hulk,Matrix,Service B,Closed,High,Medium,Low,High,27/06/2025 07:43:33,27/06/2025 10:28:13,28/06/2025 07:27:25,Friday,28/06/2025 07:27:25
CR-18882,Suspicious login activity detected: High volume of logins from Device B.,Network,Martin,Peter,Matrix,Service A,In Progress,High,High,Low,Low,27/06/2025 13:21:02,27/06/2025 19:55:12,,Friday,
CR-18883,Database schema corruption: Unable to read or query data tables.,Complaint,Michal,Hulk,Avengers,Service A,Closed,Low,Medium,High,Medium,27/06/2025 13:25:45,27/06/2025 17:50:48,29/06/2025 13:19:15,Friday,29/06/2025 13:19:15
CR-18884,Web server certificate expired: Issue flagged for priority teams.,Facilities,Thor,Iron Man,Avengers II,Service C,Closed,Low,Low,Low,High,27/06/2025 03:41:57,27/06/2025 06:23:18,28/06/2025 02:36:30,Friday,28/06/2025 02:36:30
CR-18885,Critical system alert: Root access attempted on production server.,Facilities,Iron Man,Iron Man,Avengers,Service C,Closed,Low,High,Low,Low,27/06/2025 19:33:35,27/06/2025 21:54:31,28/06/2025 10:01:05,Friday,28/06/2025 10:01:05
CR-18886,SOC analyst triggered investigation for suspicious server activity.,Software,John Wick,Peter,Avengers II,Service A,Closed,Low,Medium,Low,High,27/06/2025 18:14:41,27/06/2025 23:04:49,28/06/2025 16:45:08,Friday,28/06/2025 16:45:08
CR-18887,Network issue: Unable to connect to external API.,Data,Michal,Thor,Avengers,Service A,Closed,High,Low,Low,Low,27/06/2025 06:23:22,27/06/2025 09:15:41,28/06/2025 05:12:50,Friday,28/06/2025 05:12:50
CR-18888,Critical system alert: Root access attempted on production server.,Access,Captain America,John Wick,Matrix,Service C,Closed,Low,Medium,Low,High,27/06/2025 01:45:14,27/06/2025 08:20:56,27/06/2025 19:09:37,Friday,27/06/2025 19:09:37
CR-18889,Failed cloud synchronization: Files cannot be uploaded.,Hardware,Michal,Michal,Avengers II,Service C,Closed,Low,Low,High,Low,27/06/2025 14:00:44,27/06/2025 17:53:15,29/06/2025 09:54:30,Friday,29/06/2025 09:54:30
CR-18890,SOC analyst triggered investigation for suspicious server activity.,Hardware,Captain America,Black Panther,Matrix,Service A,Closed,Medium,Low,Low,High,27/06/2025 12:33:06,27/06/2025 15:05:30,28/06/2025 01:51:13,Friday,28/06/2025 01:51:13
CR-18891,Web server certificate expired: Issue flagged for priority teams.,Facilities,John Wick,Jan,Matrix,Service C,Closed,Medium,High,Low,Low,27/06/2025 00:46:31,27/06/2025 07:29:57,27/06/2025 22:11:55,Friday,27/06/2025 22:11:55
CR-18892,Server reboot required: Kernel update incomplete.,Network,Jan,Jan,Avengers,Service B,Closed,High,Medium,High,Low,27/06/2025 08:32:33,27/06/2025 15:53:47,29/06/2025 03:17:22,Friday,29/06/2025 03:17:22
CR-18893,Suspicious activity detected on account: User A.,Network,Martin,Captain America,Avengers II,Service B,New,Low,High,High,High,27/06/2025 06:08:31,,,Friday,
CR-18894,Login attempt from blacklisted IP address blocked.,Hardware,Peter,Thor,Avengers II,Service C,Closed,Medium,Medium,High,High,27/06/2025 07:57:13,27/06/2025 10:31:54,29/06/2025 01:54:34,Friday,29/06/2025 01:54:34
CR-18895,Suspicious API calls detected: Abnormal volume of requests identified.,Facilities,Michal,Jan,Avengers,Service C,Closed,Medium,Low,Low,High,27/06/2025 13:01:27,27/06/2025 21:00:50,29/06/2025 02:20:54,Friday,29/06/2025 02:20:54
CR-18896,USB device blocked: Removable media protection active.,Facilities,Jan,Michal,Matrix,Service A,Closed,High,Medium,Medium,High,27/06/2025 00:34:13,27/06/2025 03:43:43,28/06/2025 09:57:22,Friday,28/06/2025 09:57:22
CR-18897,Network issue: Unable to connect to external API.,Failure,Jan,Iron Man,Matrix,Service B,On Hold,High,Low,High,High,27/06/2025 22:08:32,,,Friday,
CR-18898,Keylogger activity detected on user's workstation.,Network,Peter,Peter,Matrix,Service C,New,Medium,Low,High,Low,27/06/2025 01:47:27,,,Friday,
CR-18899,Malware alert: Suspicious executable flagged during scan.,Software,Martin,Martin,Avengers,Service C,Closed,Low,Medium,Medium,High,27/06/2025 20:19:51,27/06/2025 23:04:28,29/06/2025 15:19:38,Friday,29/06/2025 15:19:38
CR-18900,Server reboot required: Kernel update incomplete.,Network,Captain America,Hulk,Avengers,Service C,Closed,Low,High,Low,Low,27/06/2025 04:27:07,27/06/2025 12:58:36,28/06/2025 14:23:19,Friday,28/06/2025 14:23:19
CR-18901,Memory exhaustion detected: Application terminated unexpectedly.,Complaint,Captain America,John Wick,Avengers,Service B,Closed,Low,High,High,Medium,27/06/2025 00:43:27,27/06/2025 08:34:07,28/06/2025 13:18:33,Friday,28/06/2025 13:18:33
CR-18902,Malware detected on endpoint: Quarantine initiated.,Access,Thor,Peter,Avengers,Service A,Closed,Medium,High,Low,High,27/06/2025 13:47:39,27/06/2025 22:29:35,29/06/2025 09:08:32,Friday,29/06/2025 09:08:32
CR-18903,Backup failure: Unable to restore files from recovery system.,Hardware,Hulk,Martin,Avengers,Service A,Closed,High,High,Medium,Medium,27/06/2025 11:10:14,27/06/2025 17:50:38,29/06/2025 04:26:23,Friday,29/06/2025 04:26:23
CR-18904,Data download from personal device flagged for review.,Software,Captain America,Iron Man,Avengers II,Service A,Closed,Medium,High,Low,Medium,27/06/2025 04:07:07,27/06/2025 12:30:00,29/06/2025 07:54:34,Friday,29/06/2025 07:54:34
CR-18905,Failed encryption process: Unable to secure sensitive data.,Facilities,Peter,Martin,Avengers II,Service B,Closed,Low,Low,Low,Low,27/06/2025 10:41:59,27/06/2025 13:16:04,28/06/2025 10:11:17,Friday,28/06/2025 10:11:17
CR-18906,Critical alert: Database server overload detected.,Hardware,Jan,Martin,Avengers II,Service A,Closed,Medium,Medium,Low,Medium,27/06/2025 03:00:02,27/06/2025 10:32:09,27/06/2025 15:35:02,Friday,27/06/2025 15:35:02
CR-18907,USB device blocked: Removable media protection active.,Hardware,Thor,Iron Man,Avengers II,Service A,Closed,Medium,Low,High,High,27/06/2025 11:14:17,27/06/2025 14:02:14,28/06/2025 01:19:08,Friday,28/06/2025 01:19:08
CR-18908,Locked account: Excessive password retry attempts.,Complaint,Thor,Iron Man,Matrix,Service B,Closed,Medium,Low,Medium,Low,27/06/2025 21:16:14,28/06/2025 04:08:36,28/06/2025 06:08:55,Friday,28/06/2025 06:08:55
CR-18909,Power failure simulation triggered during red team activity.,Network,Hulk,Captain America,Avengers,Service A,In Progress,Low,Medium,Low,High,27/06/2025 22:29:52,28/06/2025 04:27:46,,Friday,
CR-18910,Social engineering attempt flagged: Fake support request identified.,Complaint,Hulk,Captain America,Avengers II,Service A,Closed,High,High,High,Medium,27/06/2025 04:52:46,27/06/2025 13:02:49,28/06/2025 02:57:28,Friday,28/06/2025 02:57:28
CR-18911,Failed cloud synchronization: Files cannot be uploaded.,Software,Iron Man,Michal,Avengers,Service B,Closed,Low,High,High,High,27/06/2025 07:52:48,27/06/2025 16:22:49,28/06/2025 17:29:43,Friday,28/06/2025 17:29:43
CR-18912,Performance report: Sluggish response times on application.,Data,Martin,Peter,Avengers II,Service A,Closed,Medium,Low,High,Medium,27/06/2025 04:55:12,27/06/2025 12:16:08,29/06/2025 00:20:42,Friday,29/06/2025 00:20:42
CR-18913,Malware alert: Suspicious executable flagged during scan.,Facilities,Martin,Michal,Avengers,Service A,Closed,Low,Medium,Low,Low,27/06/2025 18:57:36,27/06/2025 22:37:57,29/06/2025 17:56:55,Friday,29/06/2025 17:56:55
CR-18914,User login failed: Account locked due to excessive login attempts.,Data,Peter,Hulk,Avengers,Service A,Closed,Low,Low,Medium,High,27/06/2025 12:24:24,27/06/2025 17:59:55,29/06/2025 05:28:40,Friday,29/06/2025 05:28:40
CR-18915,Unscheduled file deletion detected on shared drive.,Network,Iron Man,Thor,Avengers II,Service A,On Hold,Medium,Low,Medium,Low,27/06/2025 21:13:06,,,Friday,
CR-18916,Authentication error: Multi-factor authentication failed.,Facilities,Captain America,Hulk,Avengers II,Service B,Closed,Medium,Medium,High,High,27/06/2025 18:53:52,28/06/2025 01:24:45,28/06/2025 20:52:32,Friday,28/06/2025 20:52:32
CR-18917,Cross-site scripting (XSS) detected on customer portal.,Network,Jan,Captain America,Matrix,Service A,Closed,Medium,Low,Medium,Low,27/06/2025 18:35:15,27/06/2025 21:10:48,28/06/2025 07:34:51,Friday,28/06/2025 07:34:51
CR-18918,Critical alert: Database server overload detected.,Software,Michal,John Wick,Avengers II,Service C,Closed,Medium,Medium,High,High,27/06/2025 03:43:07,27/06/2025 09:15:46,28/06/2025 02:09:21,Friday,28/06/2025 02:09:21
CR-18919,Unauthorized access attempt detected: IP flagged as suspicious.,Software,Michal,Martin,Avengers II,Service C,Closed,High,High,Low,High,27/06/2025 17:01:15,27/06/2025 19:23:02,29/06/2025 03:46:08,Friday,29/06/2025 03:46:08
CR-18920,Breach alert: Privileged credentials exposed.,Network,Martin,Thor,Avengers,Service B,On Hold,Low,High,High,High,27/06/2025 23:53:39,,,Friday,
CR-18921,Endpoint offline: Device not syncing with central server.,Network,Hulk,John Wick,Avengers,Service B,Closed,High,Medium,Low,Medium,27/06/2025 02:55:48,27/06/2025 07:34:11,28/06/2025 17:38:57,Friday,28/06/2025 17:38:57
CR-18922,Critical security incident logged: Immediate remediation required.,Data,Peter,Martin,Matrix,Service A,Closed,Low,Low,Low,High,27/06/2025 10:52:21,27/06/2025 17:25:48,27/06/2025 23:00:41,Friday,27/06/2025 23:00:41
CR-18923,Suspicious login activity detected: High volume of logins from Device B.,Hardware,Michal,Thor,Avengers,Service B,Closed,Medium,Medium,Low,Low,28/06/2025 22:28:19,29/06/2025 05:18:05,30/06/2025 09:09:47,Saturday,30/06/2025 09:09:47
CR-18924,Social engineering attempt flagged: Fake support request identified.,Hardware,Iron Man,Hulk,Matrix,Service A,On Hold,Medium,Low,Medium,Low,28/06/2025 08:02:15,,,Saturday,
CR-18925,Database transaction rollback error flagged for audit.,Hardware,John Wick,John Wick,Avengers,Service A,Closed,Low,Medium,Low,Medium,28/06/2025 14:50:43,28/06/2025 18:38:35,29/06/2025 23:27:47,Saturday,29/06/2025 23:27:47
CR-18926,Internal network inaccessible: Ping requests time out.,Data,Black Panther,Black Panther,Matrix,Service C,New,Medium,Low,High,Medium,28/06/2025 06:27:41,,,Saturday,
CR-18927,Data breach notification sent to affected users.,Complaint,Jan,Michal,Matrix,Service B,Closed,High,Medium,Medium,Medium,28/06/2025 10:59:07,28/06/2025 14:35:02,29/06/2025 02:56:56,Saturday,29/06/2025 02:56:56
CR-18928,Suspicious activity detected on account: User A.,Data,Michal,Captain America,Matrix,Service A,Closed,Low,Low,High,High,28/06/2025 13:55:59,28/06/2025 18:18:30,30/06/2025 05:56:52,Saturday,30/06/2025 05:56:52
CR-18929,Expired password reset request: User notified.,Failure,Black Panther,Captain America,Matrix,Service B,Closed,Medium,Low,Medium,High,28/06/2025 21:21:31,29/06/2025 00:05:14,29/06/2025 20:57:59,Saturday,29/06/2025 20:57:59
CR-18930,Web application timeout: Performance degradation observed.,Failure,Martin,Hulk,Avengers,Service A,Closed,Medium,Low,Medium,Medium,28/06/2025 19:58:25,29/06/2025 01:25:15,29/06/2025 22:40:40,Saturday,29/06/2025 22:40:40
CR-18931,Failed Healthcheck - ID: 111-222-333-444-555 Host: ,Failure,Martin,Jan,Matrix,Service A,Closed,High,Medium,High,Low,28/06/2025 03:03:15,28/06/2025 11:52:34,28/06/2025 23:38:25,Saturday,28/06/2025 23:38:25
CR-18932,Failed packet inspection: Firewall rules misconfigured.,Data,Michal,Jan,Avengers II,Service A,Closed,Low,High,High,High,28/06/2025 14:45:43,28/06/2025 18:56:24,30/06/2025 04:12:16,Saturday,30/06/2025 04:12:16
CR-18933,Suspicious behavior: Multiple failed login attempts detected.,Hardware,John Wick,Peter,Avengers,Service C,Closed,Low,Low,Low,Low,28/06/2025 02:39:18,28/06/2025 08:42:54,29/06/2025 18:56:30,Saturday,29/06/2025 18:56:30
CR-18934,Cloud instance misconfiguration: Public access enabled.,Complaint,Black Panther,Captain America,Avengers,Service A,Closed,Low,Low,High,High,28/06/2025 06:20:23,28/06/2025 11:53:06,28/06/2025 21:36:34,Saturday,28/06/2025 21:36:34
CR-18935,Suspicious login activity detected: High volume of logins from Device B.,Data,Jan,Iron Man,Avengers II,Service A,Closed,Low,Medium,Medium,Low,28/06/2025 22:38:58,29/06/2025 06:23:57,30/06/2025 06:03:56,Saturday,30/06/2025 06:03:56
CR-18936,Unauthorized access attempt detected: IP flagged as suspicious.,Facilities,Michal,Iron Man,Avengers II,Service C,Closed,Low,Low,High,Low,28/06/2025 08:19:44,28/06/2025 11:42:10,29/06/2025 01:58:23,Saturday,29/06/2025 01:58:23
CR-18937,Network congestion: High bandwidth usage flagged.,Data,Captain America,Peter,Avengers II,Service B,New,Medium,High,Low,Low,28/06/2025 15:31:25,,,Saturday,
CR-18938,Breach alert: Privileged credentials exposed.,Complaint,Iron Man,Thor,Avengers II,Service C,Closed,Low,Low,Low,Low,28/06/2025 05:17:56,28/06/2025 13:50:50,30/06/2025 03:28:59,Saturday,30/06/2025 03:28:59
CR-18939,Suspicious login activity detected: High volume of logins from Device B.,Failure,Black Panther,Peter,Matrix,Service C,Closed,Medium,High,Low,High,28/06/2025 21:47:58,29/06/2025 05:41:43,30/06/2025 16:02:10,Saturday,30/06/2025 16:02:10
CR-18940,Antivirus disabled on workstation: Protection compromised.,Failure,Hulk,Captain America,Matrix,Service A,Closed,Medium,High,Medium,Medium,28/06/2025 23:23:14,29/06/2025 03:43:24,29/06/2025 17:35:05,Saturday,29/06/2025 17:35:05
CR-18941,Access request denied: Policy mismatch.,Data,Black Panther,Peter,Avengers II,Service B,Closed,Medium,Low,Low,Low,28/06/2025 13:53:31,28/06/2025 16:55:26,29/06/2025 06:41:28,Saturday,29/06/2025 06:41:28
CR-18942,Red team simulation detected: Penetration testing execution.,Facilities,Jan,Iron Man,Matrix,Service B,Closed,Low,Medium,Low,Low,28/06/2025 11:34:54,28/06/2025 18:23:59,28/06/2025 20:30:11,Saturday,28/06/2025 20:30:11
CR-18943,Security patch missing: Update not applied on critical server.,Software,Iron Man,Jan,Avengers II,Service A,Closed,Medium,High,Low,Low,28/06/2025 09:09:12,28/06/2025 14:01:03,29/06/2025 12:55:11,Saturday,29/06/2025 12:55:11
CR-18944,Power failure simulation triggered during red team activity.,Software,Iron Man,John Wick,Matrix,Service B,New,Medium,Medium,Medium,Low,28/06/2025 19:15:53,,,Saturday,
CR-18945,Authentication error: Multi-factor authentication failed.,Access,Martin,John Wick,Matrix,Service A,Closed,Low,Medium,High,Low,28/06/2025 15:55:07,28/06/2025 21:34:41,30/06/2025 02:46:40,Saturday,30/06/2025 02:46:40
CR-18946,Service outage detected - No connection to database.,Failure,Captain America,Martin,Avengers II,Service A,Closed,Low,Medium,Low,High,28/06/2025 15:22:10,28/06/2025 20:42:28,29/06/2025 09:31:37,Saturday,29/06/2025 09:31:37
CR-18947,Failed security training attempt recorded in training portal.,Access,Thor,Hulk,Matrix,Service B,Closed,Low,Low,Low,High,28/06/2025 19:38:25,28/06/2025 22:15:46,30/06/2025 13:23:08,Saturday,30/06/2025 13:23:08
CR-18948,Authentication error: Multi-factor authentication failed.,Hardware,Michal,Martin,Avengers II,Service C,Closed,Medium,High,Low,Medium,28/06/2025 03:48:59,28/06/2025 08:21:55,28/06/2025 16:45:02,Saturday,28/06/2025 16:45:02
CR-18949,Failed Healthcheck - ID: 111-222-333-444-555 Host: ,Software,Black Panther,Thor,Matrix,Service C,Closed,Low,High,Low,Low,28/06/2025 16:45:12,28/06/2025 21:37:06,29/06/2025 08:07:23,Saturday,29/06/2025 08:07:23
CR-18950,Power failure simulation triggered during red team activity.,Access,Hulk,Captain America,Avengers,Service B,Closed,Low,Medium,Medium,Medium,28/06/2025 17:21:00,28/06/2025 20:24:19,29/06/2025 19:13:14,Saturday,29/06/2025 19:13:14
CR-18951,Breach alert: Privileged credentials exposed.,Access,Iron Man,Black Panther,Avengers II,Service C,Closed,Medium,High,Medium,Medium,28/06/2025 02:52:08,28/06/2025 07:03:42,29/06/2025 13:02:38,Saturday,29/06/2025 13:02:38
CR-18952,Web application timeout: Performance degradation observed.,Failure,Michal,Martin,Avengers,Service C,Closed,Medium,High,High,Medium,28/06/2025 06:17:56,28/06/2025 13:50:19,30/06/2025 04:00:20,Saturday,30/06/2025 04:00:20
CR-18953,Performance report: Sluggish response times on application.,Complaint,Martin,Martin,Avengers,Service B,New,Low,High,Low,Medium,28/06/2025 04:38:57,,,Saturday,
CR-18954,Cloud storage accessed by untrusted device.,Access,Black Panther,Black Panther,Avengers,Service C,Closed,Medium,High,High,Low,28/06/2025 10:33:27,28/06/2025 19:02:21,29/06/2025 19:43:35,Saturday,29/06/2025 19:43:35
CR-18955,Unencrypted sensitive file shared externally.,Hardware,John Wick,Iron Man,Matrix,Service C,Closed,Medium,Medium,Low,Low,28/06/2025 19:22:29,28/06/2025 22:03:39,29/06/2025 15:25:15,Saturday,29/06/2025 15:25:15
CR-18956,Cloud misconfiguration alert: Public exposure of sensitive data.,Network,Martin,Captain America,Avengers II,Service C,Closed,Medium,Low,High,Low,28/06/2025 09:40:15,28/06/2025 16:06:03,29/06/2025 10:04:48,Saturday,29/06/2025 10:04:48
CR-18957,Unauthorized device connected: MAC address not whitelisted.,Facilities,Martin,Martin,Avengers II,Service C,Closed,Low,High,High,High,28/06/2025 15:04:11,28/06/2025 21:38:42,29/06/2025 00:08:41,Saturday,29/06/2025 00:08:41
CR-18958,DNS attack detected: Unusual query patterns observed.,Failure,Black Panther,Captain America,Avengers,Service B,On Hold,Low,Low,High,Medium,28/06/2025 17:36:41,,,Saturday,
CR-18959,User login failed: Account locked due to excessive login attempts.,Facilities,John Wick,Jan,Avengers,Service C,Closed,High,Low,High,Low,28/06/2025 05:22:39,28/06/2025 12:29:34,30/06/2025 04:53:50,Saturday,30/06/2025 04:53:50
CR-18960,Failed encryption process: Unable to secure sensitive data.,Software,Michal,Martin,Matrix,Service C,Closed,Medium,Medium,Medium,Low,28/06/2025 10:05:23,28/06/2025 13:00:37,28/06/2025 23:49:46,Saturday,28/06/2025 23:49:46
CR-18961,Failed Workflow - ID: 0000,Failure,John Wick,Michal,Avengers II,Service C,Closed,Low,Medium,Medium,Low,28/06/2025 21:20:46,29/06/2025 04:03:45,29/06/2025 20:06:51,Saturday,29/06/2025 20:06:51
CR-18962,DNS attack detected: Unusual query patterns observed.,Software,Thor,Peter,Matrix,Service B,Closed,Low,Low,Medium,Medium,28/06/2025 14:42:20,28/06/2025 23:29:09,29/06/2025 06:06:00,Saturday,29/06/2025 06:06:00
CR-18963,Privileged account login attempt: Microsoft Admin flagged.,Hardware,Martin,Michal,Avengers,Service B,In Progress,Low,High,Medium,High,28/06/2025 12:51:51,28/06/2025 18:56:47,,Saturday,
CR-18964,DDoS attack mitigation active: Rate-limiting initiated.,Software,Peter,Michal,Avengers,Service A,Closed,High,High,Low,High,28/06/2025 13:39:22,28/06/2025 19:51:03,29/06/2025 21:30:41,Saturday,29/06/2025 21:30:41
CR-18965,Phishing email flagged: User report received for fake login attempt.,Failure,Black Panther,Peter,Avengers II,Service B,Closed,Low,Medium,Low,Low,28/06/2025 17:09:13,28/06/2025 20:39:46,29/06/2025 14:01:05,Saturday,29/06/2025 14:01:05
CR-18966,Ransomware execution blocked by endpoint protection.,Facilities,Thor,John Wick,Matrix,Service B,Closed,Medium,Medium,High,Low,28/06/2025 06:40:24,28/06/2025 15:14:04,29/06/2025 17:49:53,Saturday,29/06/2025 17:49:53
CR-18967,Unauthorized access attempt detected: IP flagged as suspicious.,Network,John Wick,Hulk,Matrix,Service B,Closed,High,Low,Low,Low,28/06/2025 17:47:51,28/06/2025 20:49:40,30/06/2025 07:56:31,Saturday,30/06/2025 07:56:31
CR-18968,Performance report: Sluggish response times on application.,Failure,Thor,Michal,Avengers,Service C,Closed,Medium,Low,Low,Low,28/06/2025 09:40:47,28/06/2025 16:36:32,30/06/2025 04:41:47,Saturday,30/06/2025 04:41:47
CR-18969,Web server certificate expired: Issue flagged for priority teams.,Data,Iron Man,Hulk,Avengers II,Service C,Closed,High,Low,High,High,28/06/2025 21:13:42,29/06/2025 04:04:58,30/06/2025 03:50:04,Saturday,30/06/2025 03:50:04
CR-18970,Suspicious behavior: Multiple failed login attempts detected.,Hardware,Peter,Michal,Avengers II,Service A,Closed,Medium,Low,Low,Medium,28/06/2025 10:56:01,28/06/2025 12:56:04,29/06/2025 21:02:53,Saturday,29/06/2025 21:02:53
CR-18971,Cloud storage accessed by untrusted device.,Access,Black Panther,John Wick,Matrix,Service B,Closed,Medium,High,High,Medium,28/06/2025 10:24:02,28/06/2025 17:59:36,29/06/2025 16:18:52,Saturday,29/06/2025 16:18:52
CR-18972,System configuration error: Permissions incorrectly set.,Access,Peter,John Wick,Avengers,Service C,Closed,High,Medium,High,High,28/06/2025 10:13:57,28/06/2025 12:51:19,29/06/2025 01:42:08,Saturday,29/06/2025 01:42:08
CR-18973,Breach alert: Privileged credentials exposed.,Facilities,Hulk,Thor,Avengers II,Service C,Closed,Low,Medium,High,Low,28/06/2025 23:47:44,29/06/2025 02:27:23,29/06/2025 05:01:46,Saturday,29/06/2025 05:01:46
CR-18974,System configuration error: Permissions incorrectly set.,Hardware,Peter,Iron Man,Avengers II,Service C,Closed,Medium,Low,Low,Medium,28/06/2025 16:46:47,29/06/2025 00:10:51,30/06/2025 02:43:44,Saturday,30/06/2025 02:43:44
